French,English
partie,part
histoire,history
chercher,search
seulement,only
aide,help
demande,request
genre,kind
mois,month
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
endroit,place
yeux,eyes
façon,way
dont,whose
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
venez,come
devant,in front of
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
